title,creator,publicationName,coverDate,doi,citedby_count,coverYear
A novel inorganic phosphate-based adhesive for bonding archaeological pottery: a preliminary exploration,Xie L.,Heritage Science,2024-12-01,10.1186/s40494-024-01283-5,0,2024
Are science competitions meeting their intentions? a case study on affective and cognitive predictors of success in the Physics Olympiad,Tschisgale P.L.,Disciplinary and Interdisciplinary Science Education Research,2024-12-01,10.1186/s43031-024-00102-y,0,2024
Altered projection-specific synaptic remodeling and its modification by oxytocin in an idiopathic autism marmoset model,Noguchi J.,Communications Biology,2024-12-01,10.1038/s42003-024-06345-9,0,2024
Condom use increased after a peer group intervention implemented by community volunteers in Malawi,Norr K.F.,BMC Public Health,2024-12-01,10.1186/s12889-024-18991-z,0,2024
"Trends in socio-demographic characteristics and substance use among high school learners in a selected district in Limpopo Province, South Africa",Shuro L.,BMC Public Health,2024-12-01,10.1186/s12889-024-18927-7,0,2024
Comparison of cytokine expression and disease severity between plasma cell-dominant and eosinophil-dominant patients in chronic rhinosinusitis with nasal polyps,Lin Y.T.,"Allergy, Asthma and Clinical Immunology",2024-12-01,10.1186/s13223-024-00896-6,0,2024
Central obesity may affect bone development in adolescents: association between abdominal obesity index ABSI and adolescent bone mineral density,Lin R.,BMC Endocrine Disorders,2024-12-01,10.1186/s12902-024-01600-w,0,2024
Gender differences in plasma S100B levels of patients with major depressive disorder,Wu Y.,BMC Psychiatry,2024-12-01,10.1186/s12888-024-05852-7,0,2024
Prevalence and risk factors for obstructive pulmonary dysfunction caused by silica dust exposure: a multicenter cross-sectional study,Xin L.,BMC Pulmonary Medicine,2024-12-01,10.1186/s12890-024-03106-6,0,2024
Strong-wind events control barchan dune migration,Ren H.,Communications Earth and Environment,2024-12-01,10.1038/s43247-024-01444-1,0,2024
U.S.–China trade conflicts and R&amp;D investment: evidence from the BIS entity lists,Hu H.,Humanities and Social Sciences Communications,2024-12-01,10.1057/s41599-024-03369-8,0,2024
The impact of bolus on clinical outcomes for post-mastectomy breast cancer patients treated with IMRT: data from China,Jiang T.,Radiation Oncology,2024-12-01,10.1186/s13014-024-02456-z,0,2024
"A systematic review of graph-based explorations of PPI networks: methods, resources, and best practices",Rout T.,Network Modeling Analysis in Health Informatics and Bioinformatics,2024-12-01,10.1007/s13721-024-00467-0,0,2024
Interventional therapy combined with tyrosine kinase inhibitors with or without immune checkpoint inhibitors as initial treatment for hepatocellular carcinoma with portal vein tumor thrombosis: a systematic review and meta-analysis,Du C.,Discover Oncology,2024-12-01,10.1007/s12672-024-01026-9,0,2024
Enhancing classification with hybrid feature selection: A multi-objective genetic algorithm for high-dimensional data,Bohrer J.d.S.,Expert Systems with Applications,2024-12-01,10.1016/j.eswa.2024.124518,0,2024
Determinants of gastric cancer immune escape identified from non-coding immune-landscape quantitative trait loci,Miliotis C.,Nature Communications,2024-12-01,10.1038/s41467-024-48436-5,0,2024
Satellite-based analysis of top of atmosphere shortwave radiative forcing trend induced by biomass burning aerosols over South-Eastern Atlantic,Jouan C.,npj Climate and Atmospheric Science,2024-12-01,10.1038/s41612-024-00631-3,0,2024
Application of Taguchi approach to optimize the waste glass powder in developing eco-friendly ternary blended aluminosilicate matrix,Subhash Chandran N.,Case Studies in Construction Materials,2024-12-01,10.1016/j.cscm.2024.e03398,0,2024
Augmentative biological control of stink bugs on soybean: the Brazilian scenario,de F. Bueno A.,CABI Agriculture and Bioscience,2024-12-01,10.1186/s43170-024-00264-9,0,2024
"Effects of intensive lifestyle changes on the progression of mild cognitive impairment or early dementia due to Alzheimer’s disease: a randomized, controlled clinical trial",Ornish D.,Alzheimer's Research and Therapy,2024-12-01,10.1186/s13195-024-01482-z,0,2024
An integrated bioinformatic analysis of microarray datasets to identify biomarkers and miRNA-based regulatory networks in leishmaniasis,Savardashtaki A.,Scientific Reports,2024-12-01,10.1038/s41598-024-63462-5,0,2024
Postoperative cognitive dysfunction: a concept analysis,Varpaei H.A.,Aging Clinical and Experimental Research,2024-12-01,10.1007/s40520-024-02779-7,0,2024
Attention-Focused Eye Gaze Analysis to Predict Autistic Traits Using Transfer Learning,Vasant Bidwe R.,International Journal of Computational Intelligence Systems,2024-12-01,10.1007/s44196-024-00491-y,0,2024
Effect of nanosilica on the hydrological properties of loess and the microscopic mechanism,Wang L.,Scientific Reports,2024-12-01,10.1038/s41598-024-64280-5,0,2024
The Survival Rate and Its Related Factors in Hospitalized Covid-19 Patients in Fars Province in the South of Iran: A Hospital-Based Historical Cohort Study (2019 – 2022),Mirahmadizadeh A.,Journal of Occupational Health and Epidemiology,2024-12-01,10.61186/johe.13.1.1,0,2024
Correlation between the triglyceride-glucose index and left ventricular global longitudinal strain in patients with chronic heart failure: a cross-sectional study,Zhang S.,Cardiovascular Diabetology,2024-12-01,10.1186/s12933-024-02259-2,0,2024
The vaginal microbial signatures of preterm birth woman,Li H.,BMC Pregnancy and Childbirth,2024-12-01,10.1186/s12884-024-06573-1,0,2024
"Ameliorative impacts of gamma-aminobutyric acid (GABA) on seedling growth, physiological biomarkers, and gene expression in eight wheat (Triticum aestivum L.) cultivars under salt stress",Badr A.,BMC Plant Biology,2024-12-01,10.1186/s12870-024-05264-5,0,2024
Effect of salt-alkali stress on seed germination of the halophyte Halostachys caspica,Zhang R.,Scientific Reports,2024-12-01,10.1038/s41598-024-61737-5,0,2024
Targeted suppression of siRNA biogenesis in Arabidopsis pollen promotes triploid seed viability,Pachamuthu K.,Nature Communications,2024-12-01,10.1038/s41467-024-48950-6,0,2024
Gender differences in risk factors for ischemic stroke: a longitudinal cohort study in East China,Bai X.,BMC Neurology,2024-12-01,10.1186/s12883-024-03678-0,0,2024
Cystic vestibular schwannoma – a subgroup analysis from a comparative study between radiosurgery and microsurgery,Wang S.S.Y.,Neurosurgical Review,2024-12-01,10.1007/s10143-024-02495-w,0,2024
An exploratory characterization of speech- and fine-motor coordination in verbal children with Autism spectrum disorder,Talkar T.,Computer Speech and Language,2025-01-01,10.1016/j.csl.2024.101665,0,2025
Screening and identification of DNA nucleic acid aptamers against F1 protein of Yersinia pestis using SELEX method,Shafiei N.,Molecular Biology Reports,2024-12-01,10.1007/s11033-024-09561-y,0,2024
Total and H-specific GDF-15 levels increase in caloric deprivation independently of leptin in humans,Chrysafi P.,Nature Communications,2024-12-01,10.1038/s41467-024-49366-y,0,2024
Influence of different processing techniques for prosthetic acrylic resins in the surface roughness parameters: a research article,Quezada M.M.,BMC Oral Health,2024-12-01,10.1186/s12903-024-04397-1,0,2024
Childhood adversities and memory function in later life: the mediating role of activity participation,Cai X.,BMC Geriatrics,2024-12-01,10.1186/s12877-024-05145-4,0,2024
Network-based time series modeling for COVID-19 incidence in the Republic of Ireland,Armbruster S.,Applied Network Science,2024-12-01,10.1007/s41109-024-00634-2,0,2024
Classroom heterogeneity and assessment for learning: Evidence from 47 countries using TALIS 2018,Lim Y.,Studies in Educational Evaluation,2024-12-01,10.1016/j.stueduc.2024.101375,0,2024
Thyroid papillary carcinoma combined with primary follicular lymphoma: a case report,Xu T.,Diagnostic Pathology,2024-12-01,10.1186/s13000-024-01495-0,0,2024
Neonatal healthcare professionals’ experiences of intact cord resuscitation in the mother´s bed- an interview study,Patriksson K.,BMC Pregnancy and Childbirth,2024-12-01,10.1186/s12884-024-06558-0,0,2024
Sleep disturbances are associated with greater healthcare utilization in children with autism spectrum disorder,Solomon S.,Journal of Neurodevelopmental Disorders,2024-12-01,10.1186/s11689-024-09550-z,0,2024
"Blood smears examination and prevalence of malaria in Addis Zemen Town, Northwest Ethiopia (2013–2021): a retrospective study",Adugna T.,"Tropical Diseases, Travel Medicine and Vaccines",2024-12-01,10.1186/s40794-024-00219-y,0,2024
Genetic characteristics of chromosomally integrated carbapenemase gene (bla<inf>NDM−1</inf>) in isolates of Proteus mirabilis,Wang Q.,BMC Microbiology,2024-12-01,10.1186/s12866-024-03365-7,0,2024
The spillover effects of China’s carbon trading policy on coordinated emission efficiency,Cui H.,Scientific Reports,2024-12-01,10.1038/s41598-024-63157-x,0,2024
An automatic Q-factor matching method for eliminating 77% of the ZRO of a MEMS vibratory gyroscope in rate mode,Ren J.,Microsystems and Nanoengineering,2024-12-01,10.1038/s41378-024-00695-4,0,2024
Evaluation of diagnostic techniques for early detection of heartworm in experimentally infected dogs: identification of Dirofilaria immitis-derived microRNA in the initial 28 weeks post-inoculation,Murillo D.F.B.,Parasites and Vectors,2024-12-01,10.1186/s13071-024-06337-y,0,2024
Development of a questionnaire for patient perception to functional appliances,Haik A.A.,BMC Oral Health,2024-12-01,10.1186/s12903-024-04421-4,0,2024
Increased family psychosocial focus during children’s developmental assessments: a study of parents’ views,Strøyer de Voss S.,BMC Pediatrics,2024-12-01,10.1186/s12887-024-04800-4,0,2024
Undetected perovskite phase interference with zirconolite dissolution measurements,Goût T.L.,npj Materials Degradation,2024-12-01,10.1038/s41529-024-00475-5,0,2024
CERN-based experiments and Monte-Carlo studies on focused dose delivery with very high energy electron (VHEE) beams for radiotherapy applications,Whitmore L.,Scientific Reports,2024-12-01,10.1038/s41598-024-60997-5,0,2024
"Evaluation of activities of daily living using an electronic version of the Longshi Scale in patients with stroke: reliability, consistency, and preference",Xue K.,BMC Medical Informatics and Decision Making,2024-12-01,10.1186/s12911-024-02508-0,0,2024
"A comprehensive correlation of the KI-67 proliferation index to patient´s, imaging and tumor features and its value in predicting long-term course of patients with newly diagnosed intracranial meningiomas",Wagle P.R.,Neurosurgical Review,2024-12-01,10.1007/s10143-024-02485-y,0,2024
Emotional and motivational intelligence in Ethiopian high school learners' writing performance in relation to gender differences,Hiluf B.,Asian-Pacific Journal of Second and Foreign Language Education,2024-12-01,10.1186/s40862-024-00282-0,0,2024
Pediatric oral and dental health knowledge in child development students,Capan B.S.,Acta Scientiarum - Health Sciences,2024-12-14,10.4025/actascihealthsci.v46i1.65125,0,2024
Enhancing Freesia (Freesia armstrongii) Growth and Yield through Trichoderma-Mediated Biocontrol of Fusarium Wilt,Abdul-Jabbar N.I.,International Journal of Horticultural Science and Technology,2025-01-01,10.22059/ijhst.2024.369443.743,0,2025
Electroacupuncture attenuates neuropathic pain via suppressing BIP-IRE-1α-mediated endoplasmic reticulum stress in the anterior cingulate cortex,Ma L.W.,Biological Research,2024-12-01,10.1186/s40659-024-00511-3,0,2024
Risk factors for avascular necrosis of the femoral head after developmental hip dislocation reduction surgery and construction of Nomogram prediction model,Tang Z.,BMC Musculoskeletal Disorders,2024-12-01,10.1186/s12891-024-07575-y,0,2024
Novel Coumarins Derivatives for A. baumannii Lung Infection Developed by High-Throughput Screening and Reinforcement Learning,Li J.,Journal of Neuroimmune Pharmacology,2024-12-01,10.1007/s11481-024-10134-w,0,2024
"The effect of socioeconomic status, depression, and diabetes symptoms severity on diabetes patient’s life satisfaction in India",Ranjan S.,Scientific Reports,2024-12-01,10.1038/s41598-024-62814-5,0,2024
Retinal blood flow association with age and weight in infants at risk for retinopathy of prematurity,Cho E.,Scientific Reports,2024-12-01,10.1038/s41598-024-63534-6,0,2024
Recurrent disease detection after resection of pancreatic ductal adenocarcinoma using a recurrence-focused surveillance strategy (RADAR-PANC): protocol of an international randomized controlled trial according to the Trials within Cohorts design,Daamen L.A.,Trials,2024-12-01,10.1186/s13063-024-08223-5,0,2024
Normative modelling of molecular-based functional circuits captures clinical heterogeneity transdiagnostically in psychiatric patients,Lawn T.,Communications Biology,2024-12-01,10.1038/s42003-024-06391-3,0,2024
RhizoNet segments plant roots to assess biomass and growth for enabling self-driving labs,Sordo Z.,Scientific Reports,2024-12-01,10.1038/s41598-024-63497-8,0,2024
Comet-like Co-MOF with TiO<inf>2</inf> nanoparticles decorated used to efficiently activate peroxymonosulfate for larotrectinib degradation through radical and non-radical pathways,Wang H.,Separation and Purification Technology,2025-01-19,10.1016/j.seppur.2024.128424,0,2025
Psychological Disorders among the Indonesian Healthcare Workers during the Ongoing COVID-19 Pandemic (2020),Prakoso D.A.,Journal of Occupational Health and Epidemiology,2024-12-01,10.61186/johe.13.1.41,0,2024
"Physico-chemical characterization of Anopheles gambiae s.l. breeding sites and kdr mutations in urban areas of Cotonou and Natitingou, Benin",Djègbè I.,BMC Infectious Diseases,2024-12-01,10.1186/s12879-024-09440-8,0,2024
Joining forces for pathology diagnostics with AI assistance: The EMPAIA initiative,Zerbe N.,Journal of Pathology Informatics,2024-12-01,10.1016/j.jpi.2024.100387,0,2024
The Effect of Cannabidiol on Subjective Responses to Endurance Exercise: A Randomised Controlled Trial,McCartney D.,Sports Medicine - Open,2024-12-01,10.1186/s40798-024-00727-3,0,2024
Engineering natural microbiomes toward enhanced bioremediation by microbiome modeling,Ruan Z.,Nature Communications,2024-12-01,10.1038/s41467-024-49098-z,0,2024
1-Methyltryptophan treatment ameliorates high-fat diet-induced depression in mice through reversing changes in perineuronal nets,Hu J.,Translational Psychiatry,2024-12-01,10.1038/s41398-024-02938-4,0,2024
Enhancing customer retention in telecom industry with machine learning driven churn prediction,Sikri A.,Scientific Reports,2024-12-01,10.1038/s41598-024-63750-0,0,2024
High-throughput color determination of red raspberry puree and correlation of color parameters with total anthocyanins,Baldassi C.,Plant Methods,2024-12-01,10.1186/s13007-024-01197-0,0,2024
Diet-related inflammation is positively associated with atherogenic indices,Heidarzadeh-Esfahani N.,Scientific Reports,2024-12-01,10.1038/s41598-024-63153-1,0,2024
Non-invasive brain stimulation for treatment-resistant schizophrenia: protocol of a systematic review and network meta-analysis,Siafis S.,Systematic Reviews,2024-12-01,10.1186/s13643-024-02585-2,0,2024
Cervical and ocular vestibular-evoked myogenic potentials test results and its relation to vestibular signs and symptoms in individuals with vestibular migraine,Sanitha A.S.,Egyptian Journal of Otolaryngology,2024-12-01,10.1186/s43163-024-00610-8,0,2024
Measuring and explaining political tolerance among adolescents: insights from the International Civic and Citizenship Education Study2016,Ziemes J.F.,Large-Scale Assessments in Education,2024-12-01,10.1186/s40536-024-00206-x,0,2024
Employing a serious game intervention to promote adolescent school children’s perceptions of nursing and midwifery professions,Mitchell G.,BMC Nursing,2024-12-01,10.1186/s12912-024-02045-1,0,2024
Word-of-mouth among blood service employees who also donate blood: a qualitative investigation of advantages and challenges for dual-role donors,Chell K.,BMC Health Services Research,2024-12-01,10.1186/s12913-024-11181-y,0,2024
A selective CutMix approach improves generalizability of deep learning-based grading and risk assessment of prostate cancer,Patkar S.,Journal of Pathology Informatics,2024-12-01,10.1016/j.jpi.2024.100381,0,2024
Rhus coriaria L. in tradition and innovation like natural dye,Scarano P.,Scientific Reports,2024-12-01,10.1038/s41598-024-62528-8,0,2024
A novel D0<inf>22</inf>-strengthened medium entropy alloy with outstanding strength-ductility synergies over ambient and intermediate temperatures,Gan J.,Journal of Materials Science and Technology,2024-12-10,10.1016/j.jmst.2024.02.057,0,2024
Effect of physical and chemical co-application of biochar and sulfidated nano scale zero valent iron on the NB degradation in soil: Key roles of biochar,Gao F.,Separation and Purification Technology,2025-01-19,10.1016/j.seppur.2024.128546,0,2025
"CORACLE (COVID-19 liteRAture CompiLEr): A platform for efficient tracking and extraction of SARS-CoV-2 and COVID-19 literature, with examples from post-COVID with respiratory involvement",Piontkovskaya K.,Computational and Structural Biotechnology Journal,2024-12-01,10.1016/j.csbj.2024.06.018,0,2024
Analyzing vegetation health dynamics across seasons and regions through NDVI and climatic variables,Mehmood K.,Scientific Reports,2024-12-01,10.1038/s41598-024-62464-7,1,2024
A longitudinal electrophysiological and behavior dataset for PD rat in response to deep brain stimulation,Wang X.,Scientific Data,2024-12-01,10.1038/s41597-024-03356-3,0,2024
Controlling the Fe-intermetallic phases and mechanical properties of secondary Al-9Si-1Fe alloy with Cr and Mn additions,Balasubramani N.,Journal of Materials Science and Technology,2025-01-20,10.1016/j.jmst.2024.04.014,0,2025
BSLT and DPPH Methods to Determine the Potential Toxicity of Archidendron Pauciflorum Skin to Artemia Salina and the Antioxidant Potential as an Early Exploration of Anti-Cancer Drugs,Surya A.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-01-01,10.37934/araset.43.1.201210,0,2025
xECGArch: a trustworthy deep learning architecture for interpretable ECG analysis considering short-term and long-term features,Goettling M.,Scientific Reports,2024-12-01,10.1038/s41598-024-63656-x,0,2024
Exploratory assessment of the effect of systemic administration of soluble glycoprotein 130 on cognitive performance and chemokine levels in a mouse model of experimental traumatic brain injury,Gober I.G.,Journal of Neuroinflammation,2024-12-01,10.1186/s12974-024-03129-0,0,2024
Association between body roundness index (BRI) and gallstones: results of the 2017–2020 national health and nutrition examination survey (NHANES),Wei C.,BMC Gastroenterology,2024-12-01,10.1186/s12876-024-03280-1,0,2024
Little associations exist between the three commonly used functional screening tests in collegiate athletes,Asgari M.,Scientific Reports,2024-12-01,10.1038/s41598-024-64518-2,0,2024
"The relationship between organizational support, professional quality of life, decent work, and professional well-being among nurses: a cross-sectional study",Zheng J.,BMC Nursing,2024-12-01,10.1186/s12912-024-02114-5,0,2024
Systematic review and meta-analysis of the diagnostic performance of lacrimal gland ultrasound elastography in primary Sjögren’s syndrome,Zhang M.,International Ophthalmology,2024-12-01,10.1007/s10792-024-03185-8,0,2024
Covalently bridging graphene edges for improving mechanical and electrical properties of fibers,Ding L.,Nature Communications,2024-12-01,10.1038/s41467-024-49270-5,0,2024
Plasmodium falciparum neonatal malaria with atypical presentation: a case series from southwestern Ethiopia,Tesso Z.G.,Malaria Journal,2024-12-01,10.1186/s12936-024-04987-y,0,2024
Development of machine learning models to predict perioperative blood transfusion in hip surgery,Zang H.,BMC Medical Informatics and Decision Making,2024-12-01,10.1186/s12911-024-02555-7,0,2024
Characterization and application of recombinant Bovine Leukemia Virus Env protein,Tomé-Poderti L.,Scientific Reports,2024-12-01,10.1038/s41598-024-62811-8,0,2024
A novel perineal exposure method in laparoscopic abdominal perineal resection of rectal cancer: a case series study,Ma J.,BMC Surgery,2024-12-01,10.1186/s12893-024-02453-9,0,2024
High prevalence of vitamin D deficiency in Taiwanese patients with inflammatory bowel disease,Yang C.T.,Scientific Reports,2024-12-01,10.1038/s41598-024-64930-8,0,2024
ApoA1/HDL-C ratio as a predictor for coronary artery disease in patients with type 2 diabetes: a matched case-control study,Ghaemi F.,BMC Cardiovascular Disorders,2024-12-01,10.1186/s12872-024-03986-w,0,2024
Stress reduction through taiji: a systematic review and meta-analysis,Kraft J.,BMC Complementary Medicine and Therapies,2024-12-01,10.1186/s12906-024-04493-3,0,2024
Improved prediction of anti-angiogenic peptides based on machine learning models and comprehensive features from peptide sequences,Lee Y.C.,Scientific Reports,2024-12-01,10.1038/s41598-024-65062-9,0,2024
Using QUASR-PCR as a field-based genotyping assay for a tick acaricide resistance marker,Meiring C.,Scientific Reports,2024-12-01,10.1038/s41598-024-64401-0,0,2024
Utility of pneumonia severity assessment tools for mortality prediction in healthcare-associated pneumonia: a systematic review and meta-analysis,Noguchi S.,Scientific Reports,2024-12-01,10.1038/s41598-024-63618-3,0,2024
CERN-based experiments and Monte-Carlo studies on focused dose delivery with very high energy electron (VHEE) beams for radiotherapy applications,Whitmore L.,Scientific Reports,2024-12-01,10.1038/s41598-024-60997-5,0,2024
HF Etiology and cardiac contractility modulation therapy,Davtyan K.,BMC Cardiovascular Disorders,2024-12-01,10.1186/s12872-024-03950-8,0,2024
Multiomics analysis of platelet-rich plasma promoting biological performance of mesenchymal stem cells,Dai P.,BMC Genomics,2024-12-01,10.1186/s12864-024-10329-8,0,2024
Experimental colitis in young Tg2576 mice accelerates the onset of an Alzheimer’s-like clinical phenotype,Lorenzini L.,Alzheimer's Research and Therapy,2024-12-01,10.1186/s13195-024-01471-2,0,2024
Optimal variable identification for accurate detection of causal expression Quantitative Trait Loci with applications in heart-related diseases,Wang G.,Computational and Structural Biotechnology Journal,2024-12-01,10.1016/j.csbj.2024.05.050,0,2024
Targeted suppression of siRNA biogenesis in Arabidopsis pollen promotes triploid seed viability,Pachamuthu K.,Nature Communications,2024-12-01,10.1038/s41467-024-48950-6,0,2024
Biomechanical evaluation of reinsertion and revision screws in the subaxial cervical vertebrae,Dong W.X.,BMC Musculoskeletal Disorders,2024-12-01,10.1186/s12891-023-07158-3,0,2024
The mediating effect of pregnancy adaptation between family support and maternal-fetal bonding: a cross-sectional study,Wu W.R.,BMC Nursing,2024-12-01,10.1186/s12912-024-02009-5,0,2024
Poor housing quality and the health of newborns and young children,Hajdu T.,Scientific Reports,2024-12-01,10.1038/s41598-024-63789-z,0,2024
Folding the human proteome using BioNeMo: A fused dataset of structural models for machine learning purposes,Hetmann M.,Scientific Data,2024-12-01,10.1038/s41597-024-03403-z,0,2024
Plasmodium falciparum neonatal malaria with atypical presentation: a case series from southwestern Ethiopia,Tesso Z.G.,Malaria Journal,2024-12-01,10.1186/s12936-024-04987-y,0,2024
The use of image analysis to study the effect of moisture content on the physical properties of grains,Gierz Ł.,Scientific Reports,2024-12-01,10.1038/s41598-024-60852-7,0,2024
Cortical-striatal brain network distinguishes deepfake from real speaker identity,Roswandowitz C.,Communications Biology,2024-12-01,10.1038/s42003-024-06372-6,0,2024
The molecular evolution of cancer associated genes in mammals,MacDonald N.,Scientific Reports,2024-12-01,10.1038/s41598-024-62425-0,0,2024
The limitless endophytes: their role as antifungal agents against top priority pathogens,Moussa A.Y.,Microbial Cell Factories,2024-12-01,10.1186/s12934-024-02411-3,0,2024
A novel mutation in SORD gene associated with distal hereditary motor neuropathies,Yuan X.,BMC Medical Genomics,2024-12-01,10.1186/s12920-024-01940-5,0,2024
Taekwondo win-loss determining factors using data mining-based decision tree analysis: focusing on game analysis for evidence-based coaching,Jeon M.,"BMC Sports Science, Medicine and Rehabilitation",2024-12-01,10.1186/s13102-024-00906-5,0,2024
Core principles of Malakit intervention for transferability in other contexts,Douine M.,Malaria Journal,2024-12-01,10.1186/s12936-024-05002-0,0,2024
An integrated bioinformatic analysis of microarray datasets to identify biomarkers and miRNA-based regulatory networks in leishmaniasis,Savardashtaki A.,Scientific Reports,2024-12-01,10.1038/s41598-024-63462-5,0,2024
Molecular characterization of Escherichia coli virulence markers in neonatal and postweaning piglets from major pig-producing districts of Uganda,Tusiime M.,BMC Veterinary Research,2024-12-01,10.1186/s12917-024-04092-x,0,2024
"Study of structural, optical, surface and electrochemical properties of Co<inf>3</inf>O<inf>4</inf> nanoparticles for energy storage applications",Ravina ,Interactions,2024-12-01,10.1007/s10751-024-01932-y,0,2024
"Haemoglobin values, transfusion practices, and long-term outcomes in critically ill patients with traumatic brain injury: a secondary analysis of CENTER-TBI",Guglielmi A.,Critical Care,2024-12-01,10.1186/s13054-024-04980-6,0,2024
"Demographic and geographical trends in chronic lower respiratory diseases mortality in the United States, 1999 to 2020",Baral N.,Respiratory Research,2024-12-01,10.1186/s12931-024-02880-5,0,2024
Investigation of the antimycobacterial activity of African medicinal plants combined with chemometric analysis to identify potential leads,Moyo P.,Scientific Reports,2024-12-01,10.1038/s41598-024-65369-7,0,2024
The impact of negative cognitive bias on NSSI: mediating non-adaptive cognitive emotion regulation strategies,Han X.,BMC Nursing,2024-12-01,10.1186/s12912-024-02006-8,0,2024
Identification of epigenetic silencing of the SFRP2 gene in colorectal cancer as a clinical biomarker and molecular significance,Boughanem H.,Journal of Translational Medicine,2024-12-01,10.1186/s12967-024-05329-x,0,2024
Artificial intelligence enables precision diagnosis of cervical cytology grades and cervical cancer,Wang J.,Nature Communications,2024-12-01,10.1038/s41467-024-48705-3,0,2024
A machine learning-based model analysis for serum markers of liver fibrosis in chronic hepatitis B patients,Zhang C.,Scientific Reports,2024-12-01,10.1038/s41598-024-63095-8,0,2024
Effect of lead ions treatment on the flotation behavior of lime-depressed pyrite in a butyl xanthate system,Wang L.,Separation and Purification Technology,2025-01-19,10.1016/j.seppur.2024.128398,0,2025
Development and evaluation of a training program on non-communicable diseases to empower community health workers in rural India,Zaman S.B.,PEC Innovation,2024-12-01,10.1016/j.pecinn.2024.100305,0,2024
Objective and automatic assessment approach for diagnosing attention-deficit/hyperactivity disorder based on skeleton detection and classification analysis in outpatient videos,Ouyang C.S.,Child and Adolescent Psychiatry and Mental Health,2024-12-01,10.1186/s13034-024-00749-5,0,2024
Rare earth elements recovery and mechanisms from coal fly ash by column leaching using citric acid,Zhang L.,Separation and Purification Technology,2025-01-19,10.1016/j.seppur.2024.128471,0,2025
"Sex-specific associations of adolescent motherhood with cognitive function, behavioral problems, and autistic-like traits in offspring and the mediating roles of family conflict and altered brain structure",Ren T.,BMC Medicine,2024-12-01,10.1186/s12916-024-03442-8,0,2024
SCG5 and MITF may be novel markers of copper metabolism immunorelevance in Alzheimer’s disease,Zhuang X.,Scientific Reports,2024-12-01,10.1038/s41598-024-64599-z,0,2024
Efficacy and safety of glucagon-like peptide-1 receptor agonists on prediabetes: a systematic review and meta-analysis of randomized controlled trials,Salamah H.M.,Diabetology and Metabolic Syndrome,2024-12-01,10.1186/s13098-024-01371-3,0,2024
A case report of sepsis associated coagulopathy after percutaneous nephrostomy,Duan J.,BMC Urology,2024-12-01,10.1186/s12894-024-01476-x,0,2024
"Women’s country of birth and failure to catch up an overdue cervical cancer cytological screening participation during pregnancy in France, an observational study based on survey sources",Lyonnais E.,BMC Cancer,2024-12-01,10.1186/s12885-024-12335-1,0,2024
"Epidemiological trends, antifungal drug susceptibility and SQLE point mutations in etiologic species of human dermatophytosis in Al-Diwaneyah, Iraq",Mahmood H.R.,Scientific Reports,2024-12-01,10.1038/s41598-024-63425-w,0,2024
Associations between maternal dietary intake and nutritional status with fetal growth at 14 to 26 weeks gestation: a cross- sectional study,Kabahenda M.K.,BMC Nutrition,2024-12-01,10.1186/s40795-024-00885-3,0,2024
Establishing an optimal diagnostic criterion for respiratory sarcopenia using peak expiratory flow rate,Do Y.,Aging Clinical and Experimental Research,2024-12-01,10.1007/s40520-024-02765-z,0,2024
Effect of nanosilica on the hydrological properties of loess and the microscopic mechanism,Wang L.,Scientific Reports,2024-12-01,10.1038/s41598-024-64280-5,0,2024
Lightweight Image Encryption Using a Novel Chaotic Technique for the Safe Internet of Things,Gilmolk A.M.N.,International Journal of Computational Intelligence Systems,2024-12-01,10.1007/s44196-024-00535-3,0,2024
Design and application of virtual simulation teaching platform for intelligent manufacturing,Zheng P.,Scientific Reports,2024-12-01,10.1038/s41598-024-62072-5,0,2024
C-reactive protein as robust laboratory value associated with prognosis in patients with stage III non-small cell lung cancer (NSCLC) treated with definitive radiochemotherapy,Richlitzki C.,Scientific Reports,2024-12-01,10.1038/s41598-024-64302-2,0,2024
"High-throughput functional mapping of variants in an arrhythmia gene, KCNE1, reveals novel biology",Muhammad A.,Genome Medicine,2024-12-01,10.1186/s13073-024-01340-5,0,2024
"A randomized, controlled clinical trial demonstrates improved owner-assessed cognitive function in senior dogs receiving a senolytic and NAD+ precursor combination",Simon K.E.,Scientific Reports,2024-12-01,10.1038/s41598-024-63031-w,0,2024
"External validation of the five domains of negative symptoms: Focus on cognition, functional capacity, and real-world functioning",Giordano G.M.,European Psychiatry,2024-12-15,10.1192/j.eurpsy.2023.2478,0,2024
Association of blood urea nitrogen with all-cause and cardiovascular mortality in hyperlipidemia: NHANES 1999–2018,Shen J.,Lipids in Health and Disease,2024-12-01,10.1186/s12944-024-02158-1,0,2024
Integrated profiling identifies DXS253E as a potential prognostic marker in colorectal cancer,Xing P.,Cancer Cell International,2024-12-01,10.1186/s12935-024-03403-4,0,2024
The impact of major depressive disorder on glycaemic control in type 2 diabetes: a longitudinal cohort study using UK Biobank primary care records,Gillett A.C.,BMC Medicine,2024-12-01,10.1186/s12916-024-03425-9,0,2024
A Data Set of Synthetic Utterances for Computational Personality Analysis,Neuman Y.,Scientific Data,2024-12-01,10.1038/s41597-024-03488-6,0,2024
